Dec_Mkr,Att_Sacrifice_time_get_ahead,Att_Set_up_my_own_business,Att_Do_not_want_responsibility,Att_Work_is_Career_Not_Just_Job,Att_Rather_have_boring_job,Att_Perfectionist,Att_Optimist,Att_Creative_person,Att_Like_sharing_knowledge,Work_Ins_Help+People,Work_Ins_Solve_Probs,Work_Ins_Smart_Decisions,Work_Ins_Interesting,Work_Ins_with_Numbers
0,0,1,1,0,0,0,-1,0,0,0,1,0,0,0
0,-1,-1,1,0,0,0,1,-1,1,1,-1,-1,-1,1
0,1,0,-1,1,1,1,-1,-1,0,1,1,-1,0,0
0,0,0,-1,-1,0,-1,0,1,-1,0,1,1,0,-1
-1,-1,1,0,1,0,-1,0,1,1,-1,1,1,1,0
0,-1,1,0,1,-1,0,1,0,1,0,1,1,-1,0
0,1,-1,0,0,1,1,1,0,0,1,0,0,0,1
-1,1,-1,-1,1,1,0,1,0,1,0,1,1,1,-1
-1,1,0,0,1,1,1,-1,0,-1,1,1,0,1,1
0,-1,0,1,1,1,0,0,1,1,1,0,1,0,-1
1,1,0,1,-1,-1,0,-1,1,0,1,-1,1,0,-1
1,0,0,1,0,1,1,0,-1,1,0,1,-1,1,1
-1,0,1,-1,1,1,-1,-1,1,1,1,0,0,1,-1
0,-1,-1,1,0,1,0,1,1,1,1,1,0,-1,1
0,1,1,-1,1,1,1,-1,-1,0,1,1,0,0,-1
0,-1,1,1,1,1,-1,-1,1,0,0,0,1,-1,1
0,1,1,0,1,1,0,-1,0,-1,1,-1,0,1,1
-1,-1,1,1,0,1,-1,0,-1,1,0,0,0,0,-1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
-1,0,0,1,1,0,-1,1,1,1,0,1,1,-1,1
0,1,0,1,0,1,1,-1,0,0,-1,1,-1,1,1
0,1,1,-1,1,0,1,1,0,0,1,-1,1,0,1
0,1,1,0,-1,1,-1,1,1,-1,-1,1,-1,1,-1
0,1,0,0,1,1,0,-1,1,0,1,-1,0,1,-1
0,0,1,-1,-1,1,-1,1,0,0,0,-1,1,0,1
0,0,1,1,0,-1,0,-1,1,1,1,1,0,-1,0
0,0,1,-1,1,-1,-1,0,1,-1,-1,1,0,0,1
0,1,0,0,-1,0,1,-1,1,0,0,0,-1,1,1
0,1,1,1,1,0,-1,-1,1,-1,0,0,1,1,0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0,1,0,1,1,0
1,0,-1,-1,-1,-1,-1,1,-1,0,0,0,-1,-1,1
1,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,0,-1
1,-1,0,0,0,1,0,0,1,-1,1,-1,-1,-1,0
1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,-1,-1,-1,-1,-1,-1,1,0,1,0,-1,-1
1,0,-1,0,-1,1,-1,-1,0,0,1,0,0,0,-1
1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
1,1,-1,-1,-1,-1,-1,0,-1,-1,1,0,0,-1,-1
1,0,-1,-1,0,-1,-1,0,1,-1,-1,0,0,-1,-1
1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,1,0
0,1,1,0,1,0,1,1,-1,1,1,0,1,-1,1
1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
1,1,0,-1,-1,0,0,1,0,1,1,1,0,-1,0
0,-1,0,1,-1,1,0,1,0,1,-1,1,1,-1,-1
0,1,0,1,1,-1,1,1,0,0,1,1,1,0,0
1,-1,0,1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1
1,-1,-1,0,1,-1,0,-1,1,0,-1,-1,-1,-1,-1
0,0,-1,0,0,0,1,1,1,-1,-1,0,1,1,-1
1,1,1,1,1,0,0,1,1,1,0,1,-1,-1,-1
1,0,0,0,1,-1,1,1,0,1,0,1,-1,1,1
0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
1,-1,0,-1,0,-1,-1,0,0,1,-1,0,-1,0,1
0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
1,0,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1
1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,0,1,1,1,1,-1,1,1,1,0,-1
0,0,1,1,1,-1,1,0,0,0,-1,0,1,-1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,-1,-1,1,-1,1,1,0,-1,-1,1,1,-1
1,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,0
1,1,0,-1,1,1,1,-1,-1,0,0,-1,-1,1,0
1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,0,0,-1,-1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
0,1,1,1,-1,1,-1,0,0,-1,-1,1,1,0,1
1,0,1,1,1,0,-1,1,-1,1,0,1,1,1,1
1,-1,0,1,0,1,1,0,0,1,1,1,-1,0,0
0,1,1,0,0,0,1,1,0,0,1,1,1,1,0
1,0,0,1,0,0,1,-1,1,0,0,1,1,-1,0
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1
1,1,0,1,0,0,1,0,1,1,1,1,0,1,1
1,1,0,1,1,1,0,0,0,1,1,0,0,0,1
0,1,1,1,1,0,0,1,1,1,1,1,0,1,0
1,0,0,-1,0,0,-1,0,1,-1,-1,-1,-1,0,-1
1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,0
1,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,0,1,1,1,1,0,0,1
1,0,0,-1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,1,0,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,1
1,1,1,0,1,-1,1,1,1,1,1,0,1,1,0
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,1,-1,1,0,1,0,1,1,-1,-1,0,0,-1,0
-1,-1,-1,-1,0,1,1,-1,-1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
-1,-1,0,0,0,1,0,0,0,1,1,1,0,1,1
1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,0,-1,1,1,0,0,1,1,1,1,1,1,1
1,1,0,-1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1
1,0,0,-1,1,-1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
0,-1,0,0,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,0,1,1,1,1,1,1,1,1
0,0,-1,-1,0,1,-1,1,-1,1,0,1,1,1,1
0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
0,1,0,1,1,1,1,1,0,0,-1,-1,1,0,-1
-1,0,0,1,0,1,1,-1,0,1,1,1,0,1,1
0,0,1,1,0,0,0,1,1,1,0,1,0,0,1
-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,-1,0,0,1,1,1,1,-1,1,1
0,1,1,1,1,1,0,0,1,1,1,0,-1,-1,0
0,1,1,1,0,-1,0,1,0,0,0,1,0,1,1
0,1,-1,1,0,1,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
1,0,1,1,1,-1,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,1,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0
1,0,0,1,1,1,1,1,1,0,0,1,1,1,0
0,1,1,1,0,0,1,1,0,1,0,1,1,1,0
1,1,1,1,0,0,1,1,1,1,1,1,0,0,0
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
1,0,0,1,1,1,1,0,-1,1,0,1,1,1,1
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
0,1,0,0,1,1,1,1,0,1,0,1,1,0,1
0,0,1,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,0,1,0,0,1,0,1,1,0
1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
0,1,0,1,1,0,1,1,1,0,1,0,1,0,1
1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,-1,0,1,0,0,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1,0,1,1,0,1,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
1,0,0,1,1,1,1,1,1,1,0,1,0,1,1
1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,0,1,-1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1
-1,0,-1,-1,0,0,-1,-1,1,1,0,1,1,0,0
1,1,1,0,0,1,1,0,1,1,1,0,1,1,1
1,0,0,1,1,1,1,1,1,-1,0,1,-1,0,1
1,1,1,0,1,1,0,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,-1,0,0,1,1,0,1
1,1,0,1,1,0,0,1,1,1,1,0,1,0,1
1,0,1,0,1,1,1,1,1,1,-1,1,1,0,1
1,1,1,0,0,1,1,0,1,0,1,0,1,1,1
1,1,1,1,0,1,-1,1,0,1,1,0,1,1,0
1,0,1,1,0,1,0,1,1,0,0,1,1,0,1
1,1,1,1,1,1,0,-1,1,0,0,1,-1,1,0
1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
1,1,1,1,-1,1,1,0,1,0,1,1,1,0,1
1,0,1,1,1,1,0,-1,1,0,-1,1,0,0,1
1,1,-1,1,0,0,1,1,1,0,-1,1,-1,1,1
1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
1,1,1,0,1,1,0,1,1,1,1,-1,1,0,0
1,0,-1,1,0,1,0,1,1,-1,1,0,1,1,1
1,1,1,0,0,1,1,1,1,1,0,1,1,0,1
1,1,1,0,0,1,1,-1,1,1,0,1,1,1,1
1,1,0,1,1,1,1,-1,1,1,0,1,0,1,1
1,0,1,1,1,-1,0,1,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,0,1,1,1,1,0
1,1,1,1,-1,0,0,1,1,1,1,1,0,1,1
1,1,0,1,1,1,1,0,1,0,0,1,0,1,1
1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
1,-1,1,0,1,1,1,1,1,0,0,1,1,1,1
1,1,-1,1,-1,1,1,1,-1,1,0,0,1,1,1
1,0,0,1,1,1,1,0,1,1,1,1,1,1,-1
1,1,1,1,1,1,1,0,0,-1,0,1,1,1,1
1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
1,1,1,0,1,0,1,1,1,0,1,1,0,1,0
1,0,0,-1,0,1,1,0,1,1,1,1,1,0,1
1,0,-1,0,-1,1,0,1,1,1,1,0,1,1,1
1,0,1,0,1,1,1,-1,1,0,1,1,0,1,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,-1,1,0,1,0,1,0,1,1,1,1
1,1,1,-1,1,0,0,1,1,0,0,0,1,1,0
1,0,1,1,1,1,0,0,1,1,1,1,0,0,1
1,-1,-1,1,1,1,1,-1,0,1,1,0,1,0,1
1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
1,1,0,1,1,1,0,1,0,1,0,1,1,0,1
1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
1,1,1,-1,1,1,1,0,0,0,1,1,0,1,1
1,1,-1,1,0,1,1,0,1,1,1,1,0,1,0
1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,0,1,0,1,1,1,0
1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
1,1,0,1,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,0,0,-1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
1,1,1,0,0,1,1,1,0,1,1,0,0,1,1
1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
1,0,0,0,1,1,1,1,1,1,0,1,1,1,0
1,0,1,0,0,1,1,1,1,0,1,1,0,0,0
1,0,0,1,1,0,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,-1,-1,0,1,0,1,0,-1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,0,1,0,1,1,0,-1
1,-1,1,1,1,1,0,1,1,0,1,1,1,0,0
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,0,1,0,0,1,0,1,0,1,0
1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
1,0,1,0,1,1,1,0,1,1,0,0,1,1,0
1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,0,1,1,-1,1,0
1,1,1,0,1,0,1,1,0,-1,0,1,0,1,0
1,1,0,1,0,0,1,1,-1,0,0,0,1,1,1
1,1,1,0,1,0,-1,1,0,1,0,0,1,0,1
1,1,0,0,1,-1,0,1,0,1,1,0,1,1,0
1,0,1,1,0,0,0,1,1,1,1,-1,1,0,0
1,1,-1,0,-1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,0,1,1,1,0,0,0,1,1,0,1
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,1,1,1,1,0,1
1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,0,0,1
1,1,0,1,0,0,0,0,1,1,1,1,1,1,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1
1,0,1,-1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,0,1,0,1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
1,0,1,1,0,1,1,0,0,1,1,1,0,1,1
1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
1,-1,1,0,-1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,0,1,1,1,0,1,-1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,0,1,0,1,1,1,1,-1,1,1
1,1,1,-1,1,1,1,0,0,1,1,1,1,0,-1
1,1,1,0,1,0,1,1,1,1,1,0,0,1,1
1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,-1,0,1,1,0,0,0,1,1,0,1
1,0,0,1,1,1,1,0,0,0,0,0,1,0,1
1,-1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0
0,1,0,1,0,-1,0,0,-1,0,0,0,1,1,0
1,1,1,1,1,0,-1,1,1,0,0,0,1,0,1
1,1,1,0,-1,1,1,1,0,-1,1,0,1,1,1
1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,0,1,0,0,-1,1,1,1,0,1,0,-1,0
0,1,-1,1,0,1,0,-1,-1,0,1,1,0,-1,1
0,0,0,0,-1,-1,1,-1,0,1,0,1,1,0,0
0,0,1,0,1,-1,0,1,1,1,0,1,1,1,1
0,0,0,1,0,-1,-1,0,-1,1,0,0,1,1,1
0,-1,0,-1,0,-1,0,1,-1,0,0,-1,0,0,-1
0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0
0,1,-1,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1